"speaker_name","speaker_org_title","session_count"
"Jennifer LaFleur","UC Berkeley School of Journalism",1
"Jennifer Nelson","Reporters Committee for Freedom of the Press",1
"Jennifer Smith Richards","ProPublica",1
"Jennifer Titus","10TampaBayNews",1
"Jeremy Chase","Partner, Media and Intellectual Property at Davis Wright Tremaine LLP",1
"Jeremy Finley","Chief Investigative Reporter/Evening Anchor WSMV-TV",1
"Jill Blackman",NA,1
"Jingnan Huo","NPR",1
"Joaquin Palomino","Investigative Reporter, San Francisco Chronicle",1
"Joce Sterman","Senior National Investigative Reporter",1
"Joe Dana","12News Investigative Reporter",1
"Joe Stephens","Executive Editor, Investigative Reporting Workshop & Professor at American University ",1
"John Dell'Osso","Freelance investigative journalist",1
"John Skinner","Freedom of the Press Foundation -- SecureDrop Engineering Manager",1
"Jonathan Soma","Columbia University",1
"Jordan Elder","Investigative Reporter, News 4 and Fox San Antonio",1
"Joseph Darius Jaafari","Editor in Chief, LOOKOUT",1
"Josh Dawsey","Reporter, WSJ",1
"Josh Eidelson","Senior reporter for Bloomberg Businessweek",1
"Juan Pablo Garnham","Communications manager for Eviction Lab",1
"Julie K Brown","Investigative Reporter, The Miami Herald",1
"Julie Snyder","Serial Productions",1
"Julie Watts","CBS News California Investigative Correspondent ",1
"Juliet Linderman","Investigative reporter, The Associated Press",1
"Justin Lum","Investigative Reporter, KSAZ",1
"Justin Nobel","Investigative science journalist, Rolling Stone, DeSmog",1
"Justin Price","The Atlanta Journal-Constitution",1
"Kaley Johnson","Freelance Reporter",1
"Kara Kenney","WRTV Investigative Reporter",1
"Kara McGuirk-Allison","Center for investigative Reporting/Reveal/More To The Story",1
"Karen Wei","News Editor, The Cougar (University of Houston)",1
"Kat Stafford","Reuters, Global Race and Justice Editor",1
"Kate Grumke","Environment and Data Reporter, St. Louis Public Radio",1
"Kate Martin","APM reports",1
"Katherine Dailey","Reporter, Michigan Advance",1
"Katherine Jacobsen","Committee to Protect Journalists",1
"Katherine Reynolds Lewis",NA,1
"Kathryn Hurd","Senior reporter, UC Berkeley's Investigative Reporting Program",1
"Kathy Jones","Committee to Protect Journalists",1
"Katie Campbell","ProPublica documentary filmmaker / journalist",1
"Katie Licari","Investigative Reporter - AfroLA",1
"Katie McQue","Freelance investigative reporter ",1
"Katie Wilcox","Investigative Reporter & Editor | The Beam at ASU",1
"Kayla Solomon","Investigative Reporter - FOX13 Memphis (WHBQ)",1
"Kayla Zhu","Visualping",1
"Kelly Dietz","KARE 11, Investigative producer",1
"Kelly Wiley","Investigative Reporter KXAN News",1
"Ken Armstrong",NA,1
"Keri Blakinger","ProPublica Reporter",1
"Khadeeja Safdar","Enterprise Reporter, The Wall Street Journal ",1
"Kim Kleman","Executive Director, Report for America ",1
"Kristen Hare","Director of craft and local news, Poynter Institute ",1
"Kyle Iboshi","Investigative Reporter, KGW-TV (Portland, Oregon)",1
"Kyle Spencer","Reporting Right/The Pro-Democracy Info Lab",1
"LIZ Gonzalez","Consumer Investigative Reporter Telemundo 47 NY",1
"LaMonica Peters","The LA Local, Reporter",1
"Laird Townsend","Director, Freelance Investigative Reporters and Editors (FIRE)",1
"Lam Thuy Vo","Associate Professor & Investigative Reporter, CUNY & Documented",1
"Lance Washington","Production Manager, InvestigateTV+/Gray Media",1
"Laura Kurtzberg","Investigative Reporters & Editors",1
"Laura Meckler","National Education Writer, The Washington Post",1
"Lauren Grandestaff","IRE & NICAR",1
"Lauren Harper","Ellsberg chair on government secrecy, Freedom of the Press Foundation",1
"Lauren Mucciolo",NA,1
"Lautaro Grinspan","Immigration Reporter at The Atlanta Journal-Constitution",1
"Leah Dunn","WSB-TV",1
"Leah Rosenbaum","Investigative Reporter, The War Horse",1
"Lena Inthisenesouk","Sales Development Representative",1
"Letitia Walker","WBRZ News Director",1
"Lex Doig",NA,1
"Liam Adams","The Tennessean",1
"Lisa Armstrong","UC Berkeley Journalism School",1
"Lomi Kriel","Investigative Reporter",1
"Lori Jane Gliha","Senior National Investigative Correspondent, Scripps News",1
"Lulu Ramadan","Investigative reporter, The Seattle Times",1
"MIchael Hudson","Head of US Investigations, the Guardian",1
"Mackenzie Mays","Investigative reporter, Bloomberg Law ",1
"Madi Alexander","Deputy Data & Graphics editor, POLITICO",1
"Mago Torres","Trainer, Google News Initiative",1
"Mahir Zeynalov","Globe Post Media",1
"Margot Williams","Research Editor",1
"Mariam Elba","Research Reporter, ProPublica",1
"Mark Feldstein",NA,1
"Mark Scheffler","Head of Visual Investigations | New York Times",1
"Marta Jewson","Independent Journalist at lamplighter.news",1
"Martha Pskowski","Texas reporter, Inside Climate News",1
"Matt Apuzzo","New York Times",1
"Matt Grant","Investigative Reporter, KXAN-TV",1
"Matthew Mosk","Head of CBS News Investigations",1
"Megan Munce","Climate Reporter, San Francisco Chronicle",1
"Meribah Knight","Nashville Public Radio / Independent",1
"Michael Biesecker","Global Investigative Reporter, The Associated Press",1
"Michael Nolan","Investigative Journalist and Researcher",1
"Michael Wriston","Co-Founder, Project Salt Box",1
"Michelle Boorstein","Washington Post",1
"Mike Balsamo","US News Director, The Associated Press",1
"Mike Beaudet","Professor, Northeastern University/Investigative Reporter, WCVB-TV",1
"Mike Morris","Houston Chronicle",1
"Mike Rezendes","Investigative reporter; author",1
"Mike Schuh","MS StoryWorks/NPPA",1
"Mitchell Kotler","MuckRock, CTO",1
"Molly Blake","Social Sciences Librarian",1
"Mukta Joshi","Local Investigations Fellow, The New York Times",1
"Nadia Hamdan","Reveal",1
"Nadia Sussman","Video Journalist, ProPublica",1
"Natasha Gilbert","Freelance Investigative Journalist ",1
"Nate Rosenfield","The Bell Project - Co-Founder",1
"Niala Boodhoo","Award-winning Washington, DC-based journalist, podcast and events host",1
"Nick Bowlin","Reporter with The Frontier and ProPublica ",1
"Nicole Vap","Independent Journalist ",1
"Nina Zweig","Research Editor, Type Investigations",1
"Noam N. Levey","KFF Health News",1
"Olivia Reed","University of Nebraska-Lincoln ",1
"Owen Hornstein III","Director of Photography & VFX - InvestigateTV",1
"Paige Pfleger","Senior Criminal Justice Reporter, WPLN News",1
"Paroma Soni","Data and Graphics Reporter, POLITICO",1
"Paul Haven","Associated Press",1
"Peter Gill","Newsday transportation reporter",1
"Phillip Martin","Free-lance Investigative Reporter ",1
"Raphael Romero Ruiz","Howard Fellow, Howard Center for Investigative Journalism",1
"Rebecca Woolington","Senior Enterprise Editor, NBC News Digital",1
"Rhaina Cohen","Producer/Editor, Embedded",1
"Rick Yarborough","Senior Investigative Platform Manager ",1
"Rob Antle","CBC News, senior producer, Atlantic investigative unit",1
"Robert Benincasa","Senior Producer, Investigations, NPR",1
"Robert Maguire","Citizens for Responsibility and Ethics in Washington (CREW)",1
"Robert Samuels","The Washington Post",1
"Rose Ciotta","Executive Director, Investigative Editing Corps",1
"Roxanna Asgarian","Journalist and Author",1
"Samantha Storey","Managing Editor at The Trace",1
"Sara DiNatale","the San Francisco Chronicle, Policy and politics reporter",1
"Sarah Blustain","Assistant Managing Editor, Local, ProPublica",1
"Sarah Cohen","Sr Data Reporter, Big Local News",1
"Seamus Hughes","Court Watch/New York Times",1
"Sef Kloninger","Engineer, Big Local News, Stanford University",1
"Shernay Williams",NA,1
"Sonner Kehrt","Investigative Reporter, The War Horse",1
"Soorin Kim","White House producer at MS NOW",1
"Stacey Cameron","Investigative Reporter - WSMV4 Nashville",1
"Stephanie McCrummen","The Atlantic",1
"Stephen Stock","Assistant News Director/Investigative Journalist",1
"Steve Eder","Investigative Reporter, The New York Times",1
"Steve Sapienza","Pulitzer Center",1
"Steve Sapienza","Senior Editor, Pulitzer Center",1
"Steve Staeger","Consumer Investigator, KUSA-TV, Denver",1
"Sukey Lewis","KQED",1
"Susan Ferriss","Pulitzer Center on Crisis Reporting, Senior Editor ",1
"Susanne Reber","Executive Producer, Piz Gloria Productions",1
"Susie Neilson","Investigative Reporter, the San Francisco Chronicle",1
"Suzy Khimm","National Reporter for NBC News",1
"Tanya Eiserer","Senior investigative reporter WFAA-TV ",1
"Tara Puckey","President & CEO of Radio Television Digital News Association (RTDNA)",1
"Ted Oberg","Investigative Reporter, WRC TV NBC Washington",1
"Tenzin Pema","Journalist - Tibet, Knight-Wallace Fellow 2025-2026",1
"Tibisay Zea","Latin America correspondent for The World radio program",1
"Tiffany Stanley","Associated Press",1
"Tim Spears","Investigative Reporter, WISH-TV",1
"Tina Rosenberg","co-founder, Solutions Journalism Network",1
"Tisha Thompson","ESPN - Investigative Reporter",1
"Tracee Wilkins","NBC Washington, Investigative Reporter",1
"Trenton Daniel","Healthbeat",1
"Trish Wilson Belli","Investigations Editor",1
"Wendy Fry","CalMatters immigration reporter",1
"Will Fitzgibbon","Reporter, The Examination",1
"Yami Virgin","Investigative Reporter/Anchor, Fox San Antonio",1
"Yamilet Virgin","KABB WOAI San Antonio, Investigative Reporter/Anchor",1
"Yesica Prado","El Tecolote",1
"Zach Despart","Reporter, ProPublica",1
"Zhe Wu","Reporter, The San Francisco Public Press",1
